Municipio|CP|Dirección|Gasolina95|Gasoleo|Distancia
Fuenlabrada|28945|Avda de la Hispanidad 20|1,809|1,869|15.687064437088376
Fuenlabrada|28946|CARRETERA N-401 KM. 17,400|1,779|1,849|16.932468354583612
Fuenlabrada|28946|CALLE CONSTITUCION (DE LA), 100|1,789|1,789|16.27148979658049
Fuenlabrada|28946|CARRETERA M-506 KM. 16,300|1,739|1,799|16.087829386949544
Fuenlabrada|28946|CARRETERA A-42 KM. 18,7|1,879|1,909|17.701816211628934
Fuenlabrada|28944|CALLE LUIS SAUQUILLO, 131|1,719|1,719|18.297299146132872
Fuenlabrada|28944|CALLE ANETO, 1|1,717|1,717|17.19174244938484
Fuenlabrada|28944|CALLE LUIS SAUQUILLO, 92|1,809|1,869|17.737572562537387
Fuenlabrada|28944|CALLE ALMANZOR, 11|1,945|1,925|17.663936898196482
Fuenlabrada|28947|AVENIDA LA CANTUEÑA, 8|||16.45375120505913
Fuenlabrada|28947|CALLE ARGANZA, 5|1,839|1,839|16.15429664811163
Fuenlabrada|28947|AVENIDA DE LA CANTUEÑA, 8|1,789|1,789|16.443425475557657
Fuenlabrada|28940|CARRETERA A-42 KM. 18,7|1,879|1,909|17.805211874668014
Fuenlabrada|28940|CR M-506, 15,6|1,875|1,949|15.95570099371711
Fuenlabrada|28940|CR M-506, 18|1,865|1,939|16.525443684251055
Fuenlabrada|28940|CC. LORANCA ALCAMPO FUENLABRADA (AV. PABLO IGLESIAS, S/N, CIUDAD LORANCA)|1,719|1,749|16.704319821506296
Fuenlabrada|28940|CALLE MÓSTOLES, 1|1,868|1,928|16.506201166209514
Fuenlabrada|28942|CALLE ENEBRO, 17|1,719|1,749|16.557976623872467
Fuenlabrada|28941|CALLE CL MOSTOLES 61, 61|1,869|1,929|16.326526732579374
Fuenlabrada|28912|CALLE LUIS SAUQUILLO, 86|1,719|1,719|17.491789504543366
Fuente el Saz de Jarama|28140|CARRETERA M-117 KM. 3,100|1,809|1,809|32.86736026250551
Fuente el Saz de Jarama|28140|CAMINO VALDETORRES (DE), 1|1,889|1,949|29.355097853993268
Fuente el Saz de Jarama|28140|CALLE TORRELAGUNA, 78|1,889|1,989|30.093089518634006
Fuentidueña de Tajo|28597|CARRETERA N III KM. 68,500|1,869|1,899|61.11722892509135
Fuentidueña de Tajo|28597|AUTOVIA A-3 KM. 62,5|1,885|1,939|56.01295297157697
Galapagar|28260|CR M-510, 1,8|1,845|1,909|37.249899566693884
